filename,sum_total_global,ratio_top_bottom,center_of_mass_y,avg_percent_above_threshold,horizontal_vs_vertical_ratio,max_overall,mean_of_means,std_of_means,mean_signed_vertical,mean_signed_horizontal
img_001.jpg,12971.416992,0.729007,0.555799,0.368905,0.788095,1.000000,0.113102,0.069005,0.063643,0.080755
img_002.jpg,11340.390625,0.417400,0.617183,0.279855,0.700238,1.000000,0.098880,0.101596,0.033427,0.047736
img_003.jpg,8767.412109,0.771613,0.557181,0.264457,1.271423,1.000000,0.076446,0.052284,0.051777,0.040724
img_004.jpg,10066.248047,1.015321,0.501338,0.289289,0.845572,1.000000,0.087771,0.072260,0.040205,0.047547
img_005.jpg,8316.872070,0.875448,0.522887,0.256217,1.507740,1.000000,0.072517,0.049191,0.054579,0.036199
img_006.jpg,11280.681641,0.527120,0.599834,0.272845,1.282354,1.000000,0.098360,0.094892,0.046378,0.036166
img_007.jpg,12063.803711,0.643432,0.556382,0.381696,1.147048,1.000000,0.105188,0.087899,0.057449,0.050084
img_008.jpg,11023.569336,0.524646,0.566205,0.281625,0.831834,1.000000,0.096118,0.084190,0.044460,0.053448
img_009.jpg,10107.208008,1.391438,0.453434,0.278128,0.884229,1.000000,0.088128,0.067079,0.048266,0.054586
img_010.jpg,20206.220703,1.086815,0.481425,0.517404,1.057584,1.000000,0.176184,0.116438,0.113508,0.107328
img_011.jpg,11649.479492,0.884880,0.522774,0.379159,1.164851,1.000000,0.101575,0.084660,0.055307,0.047480
img_012.jpg,6533.047852,1.001960,0.509184,0.191493,1.829033,1.000000,0.056964,0.031551,0.053199,0.029086
img_013.jpg,8056.641602,1.219635,0.480503,0.227051,1.656597,1.000000,0.070248,0.043298,0.050772,0.030649
img_014.jpg,14410.754883,0.624654,0.588529,0.413374,0.807911,1.000000,0.125652,0.070279,0.078558,0.097236
img_015.jpg,9989.470703,0.785766,0.538421,0.297512,1.190396,1.000000,0.087101,0.052478,0.062807,0.052762
img_016.jpg,11467.751953,0.626745,0.576710,0.292463,1.366470,1.000000,0.099991,0.069837,0.074385,0.054436
img_018.jpg,14708.744141,0.777280,0.556295,0.408700,1.047036,1.000000,0.128250,0.102249,0.076313,0.072885
img_019.jpg,17035.414062,1.103139,0.494345,0.418832,1.748450,1.000000,0.148537,0.113609,0.108896,0.062282
img_020.jpg,8777.084961,0.574623,0.628459,0.241900,0.897260,1.000000,0.076530,0.057901,0.038987,0.043451
img_021.jpg,6650.924805,0.962541,0.509377,0.178519,1.281497,1.000000,0.057991,0.032144,0.041230,0.032173
img_022.jpg,8756.163086,0.901356,0.545129,0.272278,1.141907,1.000000,0.076348,0.054188,0.043435,0.038037
img_023.jpg,12832.151367,0.865133,0.538406,0.306257,1.150042,1.000000,0.111887,0.104284,0.062243,0.054123
img_024.jpg,17544.626953,1.246529,0.478628,0.477495,1.152236,1.000000,0.152977,0.088565,0.118363,0.102724
img_025.jpg,15887.248047,0.868357,0.518941,0.486633,0.931191,1.000000,0.138526,0.054372,0.103496,0.111143
img_026.jpg,11393.441406,0.860778,0.524272,0.321245,1.322197,1.000000,0.099343,0.045992,0.087375,0.066083
img_027.jpg,13637.622070,0.665847,0.552755,0.378959,0.936541,1.000000,0.118911,0.106461,0.051787,0.055296
img_028.jpg,4403.392578,0.554898,0.545257,0.080226,1.308602,1.000000,0.038395,0.019562,0.030861,0.023584
img_029.jpg,5715.915527,0.796350,0.555966,0.106663,1.204408,1.000000,0.049839,0.031987,0.030331,0.025184
img_030.jpg,6415.615234,1.236556,0.482675,0.173235,1.382845,1.000000,0.055940,0.046821,0.033453,0.024191
img_031.jpg,11405.236328,0.950687,0.513978,0.313886,1.243879,1.000000,0.099446,0.104224,0.041298,0.033201
img_032.jpg,4800.193359,1.230479,0.496189,0.095991,1.127030,1.000000,0.041854,0.023761,0.031233,0.027712
img_033.jpg,14546.876953,0.761100,0.543648,0.372515,1.256363,1.000000,0.126839,0.137259,0.055817,0.044428
img_034.jpg,8800.558594,0.667282,0.585261,0.247934,1.150238,1.000000,0.076735,0.058006,0.044584,0.038761
img_035.jpg,9174.069336,0.733063,0.561676,0.264003,1.204949,1.000000,0.079992,0.070480,0.046934,0.038951
img_036.jpg,7957.394531,1.027546,0.515044,0.252058,1.166914,1.000000,0.069383,0.064052,0.036708,0.031457
img_037.jpg,4568.579590,0.878712,0.485120,0.065613,1.145331,1.000000,0.039835,0.030812,0.022789,0.019897
img_038.jpg,9053.708984,0.882959,0.513809,0.243016,1.387842,1.000000,0.078942,0.079430,0.039922,0.028765
img_039.jpg,5974.344727,1.058486,0.491546,0.079337,1.100002,1.000000,0.052092,0.046669,0.026658,0.024235
img_040.jpg,6469.111328,1.328705,0.494202,0.124015,1.202537,1.000000,0.056406,0.038126,0.036825,0.030622
img_041.jpg,8023.128906,1.753887,0.434439,0.242754,1.230260,1.000000,0.069956,0.060234,0.040236,0.032705
img_042.jpg,4396.539062,0.392155,0.622053,0.081351,1.007381,1.000000,0.038335,0.015976,0.027658,0.027455
img_043.jpg,6807.306641,0.571899,0.594251,0.144209,2.553566,1.000000,0.059355,0.020603,0.065663,0.025714
img_044.jpg,7285.119141,0.491123,0.599714,0.244786,1.125844,1.000000,0.063521,0.051092,0.035796,0.031795
img_045.jpg,6252.054688,0.610852,0.574493,0.103446,1.603324,1.000000,0.054514,0.047276,0.032908,0.020525
img_046.jpg,6542.891602,1.410332,0.478399,0.115217,1.004909,1.000000,0.057049,0.031480,0.036913,0.036733
img_047.jpg,3461.739014,0.974111,0.522691,0.074001,1.425874,1.000000,0.030184,0.020024,0.020688,0.014509
img_048.jpg,7895.588867,0.945224,0.517172,0.264596,1.348374,1.000000,0.068844,0.060387,0.039807,0.029522
img_049.jpg,5268.497070,1.080669,0.519671,0.093785,1.632417,1.000000,0.045938,0.029211,0.034032,0.020848
img_050.jpg,3652.625977,0.891035,0.500784,0.074227,1.304143,1.000000,0.031848,0.019058,0.023560,0.018066
img_051.jpg,13991.515625,0.778469,0.546398,0.373805,1.098279,1.000000,0.121996,0.132140,0.052820,0.048093
img_052.jpg,11122.311523,0.589007,0.578154,0.331665,1.045673,1.000000,0.096979,0.065433,0.061509,0.058823
img_053.jpg,11514.080078,0.530151,0.592631,0.269775,1.934240,1.000000,0.100395,0.097792,0.057634,0.029797
img_054.jpg,11859.149414,0.678566,0.566096,0.280308,1.378036,1.000000,0.103404,0.113017,0.048093,0.034900
img_055.jpg,15386.036133,0.939879,0.515536,0.378235,1.005542,1.000000,0.134156,0.142123,0.053552,0.053257
img_056.jpg,13663.597656,1.009401,0.507026,0.380615,0.963421,1.000000,0.119137,0.119594,0.050639,0.052562
img_057.jpg,11789.571289,0.981468,0.512708,0.280814,1.284221,1.000000,0.102797,0.100992,0.053332,0.041529
img_058.jpg,12426.847656,0.977404,0.513232,0.290231,1.394164,1.000000,0.108354,0.101634,0.059946,0.042998
img_059.jpg,19289.921875,0.826288,0.530030,0.395386,1.166843,1.000000,0.168195,0.198256,0.068240,0.058482
img_060.jpg,16692.070312,0.777687,0.546852,0.379996,0.978945,1.000000,0.145543,0.161987,0.059154,0.060427
img_061.jpg,6987.308594,0.844646,0.526004,0.218445,1.438671,1.000000,0.060924,0.048616,0.033586,0.023345
img_062.jpg,6306.941406,1.243700,0.491529,0.113342,0.967074,1.000000,0.054992,0.034402,0.035085,0.036280
img_063.jpg,18171.144531,0.896518,0.523453,0.377372,1.421872,1.000000,0.158440,0.185724,0.063255,0.044487
img_064.jpg,10082.199219,0.769506,0.550741,0.250889,1.777875,1.000000,0.087910,0.088298,0.046062,0.025908
img_065.jpg,9670.294922,0.409696,0.662111,0.265721,0.859772,1.000000,0.084318,0.073051,0.039527,0.045974
